"pdt"	"method"	"mean_coverage"	"se_coverage"	"mean_coverage_w"	"se_coverage_w"	"mean_coverage_o"	"se_coverage_o"
0.1	"gp"	0.971	0.0042	0.9703	0.0043	0.9716	0.0041
0.1	"marss"	0.0569	0.0024	0.0567	0.0025	0.0567	0.0025
0.1	"s1_si_trend"	0.9461	9e-04	0.9459	0.0015	0.9462	1e-04
0.1	"si"	0.9463	9e-04	0.9464	0.0015	0.9463	1e-04
0.1	"si_trend"	0.9461	9e-04	0.9459	0.0015	0.9462	1e-04
0.1	"si_trend_cov"	0.946	9e-04	0.9459	0.0015	0.9462	1e-04
0.1	"sia"	0.9463	9e-04	0.9463	0.0015	0.9463	1e-04
0.1	"sia_trend"	0.9459	8e-04	0.9457	0.0014	0.9463	1e-04
0.1	"siap"	0.946	9e-04	0.9459	0.0015	0.9462	1e-04
0.3	"gp"	0.9377	0.0028	0.9377	0.0028	0.9377	0.0028
0.3	"marss"	0.0522	0.0017	0.052	0.0017	0.052	0.0017
0.3	"s1_si_trend"	0.9442	8e-04	0.9443	0.0013	0.9441	1e-04
0.3	"si"	0.9432	0.001	0.9427	0.0015	0.944	1e-04
0.3	"si_trend"	0.9441	8e-04	0.9442	0.0013	0.944	1e-04
0.3	"si_trend_cov"	0.9442	8e-04	0.9443	0.0013	0.9441	1e-04
0.3	"sia"	0.9431	9e-04	0.9426	0.0015	0.944	1e-04
0.3	"sia_trend"	0.9437	8e-04	0.9434	0.0013	0.9441	1e-04
0.3	"siap"	0.9442	8e-04	0.9443	0.0013	0.9441	1e-04
0.5	"gp"	0.7915	0.0033	0.7915	0.0034	0.7916	0.0033
0.5	"marss"	0.0451	0.0014	0.0449	0.0014	0.0449	0.0014
0.5	"s1_si_trend"	0.9378	0.001	0.9375	0.0015	0.9385	1e-04
0.5	"si"	0.9381	0.0012	0.9379	0.0017	0.9385	1e-04
0.5	"si_trend"	0.9378	0.001	0.9375	0.0015	0.9384	1e-04
0.5	"si_trend_cov"	0.9378	0.001	0.9375	0.0015	0.9385	1e-04
0.5	"sia"	0.9381	0.0012	0.9379	0.0017	0.9386	1e-04
0.5	"sia_trend"	0.9383	0.001	0.9382	0.0014	0.9385	1e-04
0.5	"siap"	0.9378	0.001	0.9375	0.0015	0.9385	1e-04
